sector,companies,ai_job_pct,anzsic_match
Business processes & support,494,2.3,"Professional, scientific & technical"
IT infrastructure & hosting,346,4.2,Information media & telecoms
"Media, social & marketing",255,0.6,Arts & recreation services
Healthcare & biotech,184,0.8,Healthcare & social assistance
Education & training,166,2.6,Education & training
Digital security,163,0.7,Public administration & safety
Financial & insurance,132,2.1,Financial & insurance services
"Govt, security & defence",99,0.7,Public administration & safety
"Logistics, wholesale & retail",93,0.4,"Transport, postal & warehousing"
Environmental services,90,1.1,"Electricity, gas, water & waste"
