occupation,ai_demand,workers_thousands,zone
Arts and media professionals,7.6,258,High demand
ICT professionals,5.1,415,High demand
Education professionals,2.8,1073,Mid demand
Business HR and marketing,1.8,863,Mid demand
Design engineering and science,1.4,340,Mid demand
Chief executives,1.1,212,Mid demand
Specialist managers,0.9,724,Low demand
Construction trades,0.8,594,Low demand
Automotive trades,0.8,148,Low demand
Health professionals,0.1,902,Low demand
Hospitality workers,0.1,744,Low demand
Road and rail drivers,0.1,321,Low demand
