id,col,row,category,is_you
1,0,0,Adopting AI,no
2,1,0,Adopting AI,no
3,2,0,Adopting AI,no
4,3,0,Adopting AI,no
5,4,0,Adopting AI,no
6,5,0,Adopting AI,no
7,6,0,Adopting AI,no
8,7,0,Adopting AI,no
9,8,0,Adopting AI,no
10,9,0,Adopting AI,no
11,0,1,Adopting AI,no
12,1,1,Adopting AI,no
13,2,1,Adopting AI,no
14,3,1,Adopting AI,no
15,4,1,Adopting AI,no
16,5,1,Adopting AI,no
17,6,1,Adopting AI,no
18,7,1,Adopting AI,no
19,8,1,Adopting AI,no
20,9,1,Adopting AI,no
21,0,2,Adopting AI,no
22,1,2,Adopting AI,no
23,2,2,Adopting AI,no
24,3,2,Adopting AI,no
25,4,2,Adopting AI,no
26,5,2,Adopting AI,yes
27,6,2,Adopting AI,no
28,7,2,Adopting AI,no
29,8,2,Adopting AI,no
30,9,2,Adopting AI,no
31,0,3,Adopting AI,no
32,1,3,Adopting AI,no
33,2,3,Adopting AI,no
34,3,3,Adopting AI,no
35,4,3,Adopting AI,no
36,5,3,Adopting AI,no
37,6,3,Adopting AI,no
38,7,3,Adopting AI,no
39,8,3,Adopting AI,no
40,9,3,Adopting AI,no
41,0,4,Adopting AI,no
42,1,4,Adopting AI,no
43,2,4,Adopting AI,no
44,3,4,Adopting AI,no
45,4,4,Adopting AI,no
46,5,4,Adopting AI,no
47,6,4,Adopting AI,no
48,7,4,Adopting AI,no
49,8,4,Adopting AI,no
50,9,4,Adopting AI,no
51,0,5,Adopting AI,no
52,1,5,Adopting AI,no
53,2,5,Not adopting,no
54,3,5,Not adopting,no
55,4,5,Not adopting,no
56,5,5,Not adopting,no
57,6,5,Not adopting,no
58,7,5,Not adopting,no
59,8,5,Not adopting,no
60,9,5,Not adopting,no
61,0,6,Not adopting,no
62,1,6,Not adopting,no
63,2,6,Not adopting,no
64,3,6,Not adopting,no
65,4,6,Not adopting,no
66,5,6,Not adopting,no
67,6,6,Not adopting,no
68,7,6,Not adopting,no
69,8,6,Not adopting,no
70,9,6,Not adopting,no
71,0,7,Not adopting,no
72,1,7,Not adopting,no
73,2,7,Not adopting,no
74,3,7,Not adopting,no
75,4,7,Not adopting,no
76,5,7,Not adopting,no
77,6,7,Not adopting,no
78,7,7,Not adopting,no
79,8,7,Not adopting,no
80,9,7,Not adopting,no
81,0,8,Not adopting,no
82,1,8,Not adopting,no
83,2,8,Not adopting,no
84,3,8,Not adopting,no
85,4,8,Not adopting,no
86,5,8,Not adopting,no
87,6,8,Not adopting,no
88,7,8,Not adopting,no
89,8,8,Not adopting,no
90,9,8,Not adopting,no
91,0,9,Not adopting,no
92,1,9,Not adopting,no
93,2,9,Not adopting,no
94,3,9,Not adopting,no
95,4,9,Not adopting,no
96,5,9,Not adopting,no
97,6,9,Not adopting,no
98,7,9,Not adopting,no
99,8,9,Not adopting,no
100,9,9,Not adopting,no
